😀	grinning	grinning,grinning_face
🫱🏽‍🫲🏼	handshake_tone3_tone2	handshake_tone3_tone2,handshake_medium_skin_tone_medium_light_skin_tone
🫱🏽‍🫲🏾	handshake_tone3_tone4	handshake_tone3_tone4,handshake_medium_skin_tone_medium_dark_skin_tone
🫱🏽‍🫲🏿	handshake_tone3_tone5	handshake_tone3_tone5,handshake_medium_skin_tone_dark_skin_tone
🫱🏾‍🫲🏻	handshake_tone4_tone1	handshake_tone4_tone1,handshake_medium_dark_skin_tone_light_skin_tone
🫱🏾‍🫲🏼	handshake_tone4_tone2	handshake_tone4_tone2,handshake_medium_dark_skin_tone_medium_light_skin_tone
🫱🏾‍🫲🏽	handshake_tone4_tone3	handshake_tone4_tone3,handshake_medium_dark_skin_tone_medium_skin_tone
🫱🏾‍🫲🏿	handshake_tone4_tone5	handshake_tone4_tone5,handshake_medium_dark_skin_tone_dark_skin_tone
🫱🏿‍🫲🏻	handshake_tone5_tone1	handshake_tone5_tone1,handshake_dark_skin_tone_light_skin_tone
🫱🏿‍🫲🏼	handshake_tone5_tone2	handshake_tone5_tone2,handshake_dark_skin_tone_medium_light_skin_tone
🫱🏿‍🫲🏽	handshake_tone5_tone3	handshake_tone5_tone3,handshake_dark_skin_tone_medium_skin_tone
🫱🏿‍🫲🏾	handshake_tone5_tone4	handshake_tone5_tone4,handshake_dark_skin_tone_medium_dark_skin_tone
🙏	pray	pray,folded_hands
🙏🏻	pray_tone1	pray_tone1
🙏🏼	pray_tone2	pray_tone2
🙏🏽	pray_tone3	pray_tone3
🙏🏾	pray_tone4	pray_tone4
🙏🏿	pray_tone5	pray_tone5
✍️	writing_hand	writing_hand
✍🏻	writing_hand_tone1	writing_hand_tone1
✍🏼	writing_hand_tone2	writing_hand_tone2
✍🏽	writing_hand_tone3	writing_hand_tone3
✍🏾	writing_hand_tone4	writing_hand_tone4
✍🏿	writing_hand_tone5	writing_hand_tone5
💅	nail_care	nail_care,nail_polish
💅🏻	nail_care_tone1	nail_care_tone1
💅🏼	nail_care_tone2	nail_care_tone2
💅🏽	nail_care_tone3	nail_care_tone3
💅🏾	nail_care_tone4	nail_care_tone4
💅🏿	nail_care_tone5	nail_care_tone5
🤳	selfie	selfie
🤳🏻	selfie_tone1	selfie_tone1
🤳🏼	selfie_tone2	selfie_tone2
🤳🏽	selfie_tone3	selfie_tone3
🤳🏾	selfie_tone4	selfie_tone4
🤳🏿	selfie_tone5	selfie_tone5
💪	muscle	muscle,flexed_biceps
💪🏻	muscle_tone1	muscle_tone1
💪🏼	muscle_tone2	muscle_tone2
💪🏽	muscle_tone3	muscle_tone3
💪🏾	muscle_tone4	muscle_tone4
💪🏿	muscle_tone5	muscle_tone5
🦾	mechanical_arm	mechanical_arm
🦿	mechanical_leg	mechanical_leg
🦵	leg	leg
🦵🏻	leg_tone1	leg_tone1,leg_light_skin_tone
🦵🏼	leg_tone2	leg_tone2,leg_medium_light_skin_tone
🦵🏽	leg_tone3	leg_tone3,leg_medium_skin_tone
🦵🏾	leg_tone4	leg_tone4,leg_medium_dark_skin_tone
🦵🏿	leg_tone5	leg_tone5,leg_dark_skin_tone
🦶	foot	foot
🦶🏻	foot_tone1	foot_tone1,foot_light_skin_tone
🦶🏼	foot_tone2	foot_tone2,foot_medium_light_skin_tone
🦶🏽	foot_tone3	foot_tone3,foot_medium_skin_tone
🦶🏾	foot_tone4	foot_tone4,foot_medium_dark_skin_tone
🦶🏿	foot_tone5	foot_tone5,foot_dark_skin_tone
👂	ear	ear
👂🏻	ear_tone1	ear_tone1
👂🏼	ear_tone2	ear_tone2
👂🏽	ear_tone3	ear_tone3
👂🏾	ear_tone4	ear_tone4
👂🏿	ear_tone5	ear_tone5
🦻	ear_with_hearing_aid	ear_with_hearing_aid
🦻🏻	ear_with_hearing_aid_tone1	ear_with_hearing_aid_tone1,ear_with_hearing_aid_light_skin_tone
🦻🏼	ear_with_hearing_aid_tone2	ear_with_hearing_aid_tone2,ear_with_hearing_aid_medium_light_skin_tone
🦻🏽	ear_with_hearing_aid_tone3	ear_with_hearing_aid_tone3,ear_with_hearing_aid_medium_skin_tone
🦻🏾	ear_with_hearing_aid_tone4	ear_with_hearing_aid_tone4,ear_with_hearing_aid_medium_dark_skin_tone
🦻🏿	ear_with_hearing_aid_tone5	ear_with_hearing_aid_tone5,ear_with_hearing_aid_dark_skin_tone
👃	nose	nose
👃🏻	nose_tone1	nose_tone1
👃🏼	nose_tone2	nose_tone2
👃🏽	nose_tone3	nose_tone3
👃🏾	nose_tone4	nose_tone4
👃🏿	nose_tone5	nose_tone5
🧠	brain	brain
🫀	anatomical_heart	anatomical_heart
🫁	lungs	lungs
🦷	tooth	tooth
🦴	bone	bone
👀	eyes	eyes
👁️	eye	eye
👅	tongue	tongue
👄	lips	lips,mouth
🫦	biting_lip	biting_lip
👶	baby	baby
👶🏻	baby_tone1	baby_tone1
👶🏼	baby_tone2	baby_tone2
👶🏽	baby_tone3	baby_tone3
👶🏾	baby_tone4	baby_tone4
👶🏿	baby_tone5	baby_tone5
🧒	child	child
🧒🏻	child_tone1	child_tone1,child_light_skin_tone
