😀	grinning	grinning,grinning_face
🙇🏿‍♀️	woman_bowing_tone5	woman_bowing_tone5,woman_bowing_dark_skin_tone
🤦	person_facepalming	person_facepalming,face_palm,facepalm
🤦🏻	person_facepalming_tone1	person_facepalming_tone1,face_palm_tone1,facepalm_tone1
🤦🏼	person_facepalming_tone2	person_facepalming_tone2,face_palm_tone2,facepalm_tone2
🤦🏽	person_facepalming_tone3	person_facepalming_tone3,face_palm_tone3,facepalm_tone3
🤦🏾	person_facepalming_tone4	person_facepalming_tone4,face_palm_tone4,facepalm_tone4
🤦🏿	person_facepalming_tone5	person_facepalming_tone5,face_palm_tone5,facepalm_tone5
🤦‍♂️	man_facepalming	man_facepalming
🤦🏻‍♂️	man_facepalming_tone1	man_facepalming_tone1,man_facepalming_light_skin_tone
🤦🏼‍♂️	man_facepalming_tone2	man_facepalming_tone2,man_facepalming_medium_light_skin_tone
🤦🏽‍♂️	man_facepalming_tone3	man_facepalming_tone3,man_facepalming_medium_skin_tone
🤦🏾‍♂️	man_facepalming_tone4	man_facepalming_tone4,man_facepalming_medium_dark_skin_tone
🤦🏿‍♂️	man_facepalming_tone5	man_facepalming_tone5,man_facepalming_dark_skin_tone
🤦‍♀️	woman_facepalming	woman_facepalming
🤦🏻‍♀️	woman_facepalming_tone1	woman_facepalming_tone1,woman_facepalming_light_skin_tone
🤦🏼‍♀️	woman_facepalming_tone2	woman_facepalming_tone2,woman_facepalming_medium_light_skin_tone
🤦🏽‍♀️	woman_facepalming_tone3	woman_facepalming_tone3,woman_facepalming_medium_skin_tone
🤦🏾‍♀️	woman_facepalming_tone4	woman_facepalming_tone4,woman_facepalming_medium_dark_skin_tone
🤦🏿‍♀️	woman_facepalming_tone5	woman_facepalming_tone5,woman_facepalming_dark_skin_tone
🤷	person_shrugging	person_shrugging,shrug
🤷🏻	person_shrugging_tone1	person_shrugging_tone1,shrug_tone1
🤷🏼	person_shrugging_tone2	person_shrugging_tone2,shrug_tone2
🤷🏽	person_shrugging_tone3	person_shrugging_tone3,shrug_tone3
🤷🏾	person_shrugging_tone4	person_shrugging_tone4,shrug_tone4
🤷🏿	person_shrugging_tone5	person_shrugging_tone5,shrug_tone5
🤷‍♂️	man_shrugging	man_shrugging
🤷🏻‍♂️	man_shrugging_tone1	man_shrugging_tone1,man_shrugging_light_skin_tone
🤷🏼‍♂️	man_shrugging_tone2	man_shrugging_tone2,man_shrugging_medium_light_skin_tone
🤷🏽‍♂️	man_shrugging_tone3	man_shrugging_tone3,man_shrugging_medium_skin_tone
🤷🏾‍♂️	man_shrugging_tone4	man_shrugging_tone4,man_shrugging_medium_dark_skin_tone
🤷🏿‍♂️	man_shrugging_tone5	man_shrugging_tone5,man_shrugging_dark_skin_tone
🤷‍♀️	woman_shrugging	woman_shrugging
🤷🏻‍♀️	woman_shrugging_tone1	woman_shrugging_tone1,woman_shrugging_light_skin_tone
🤷🏼‍♀️	woman_shrugging_tone2	woman_shrugging_tone2,woman_shrugging_medium_light_skin_tone
🤷🏽‍♀️	woman_shrugging_tone3	woman_shrugging_tone3,woman_shrugging_medium_skin_tone
🤷🏾‍♀️	woman_shrugging_tone4	woman_shrugging_tone4,woman_shrugging_medium_dark_skin_tone
🤷🏿‍♀️	woman_shrugging_tone5	woman_shrugging_tone5,woman_shrugging_dark_skin_tone
🧑‍⚕️	health_worker	health_worker
🧑🏻‍⚕️	health_worker_tone1	health_worker_tone1,health_worker_light_skin_tone
🧑🏼‍⚕️	health_worker_tone2	health_worker_tone2,health_worker_medium_light_skin_tone
🧑🏽‍⚕️	health_worker_tone3	health_worker_tone3,health_worker_medium_skin_tone
🧑🏾‍⚕️	health_worker_tone4	health_worker_tone4,health_worker_medium_dark_skin_tone
🧑🏿‍⚕️	health_worker_tone5	health_worker_tone5,health_worker_dark_skin_tone
👨‍⚕️	man_health_worker	man_health_worker
👨🏻‍⚕️	man_health_worker_tone1	man_health_worker_tone1,man_health_worker_light_skin_tone
👨🏼‍⚕️	man_health_worker_tone2	man_health_worker_tone2,man_health_worker_medium_light_skin_tone
👨🏽‍⚕️	man_health_worker_tone3	man_health_worker_tone3,man_health_worker_medium_skin_tone
👨🏾‍⚕️	man_health_worker_tone4	man_health_worker_tone4,man_health_worker_medium_dark_skin_tone
👨🏿‍⚕️	man_health_worker_tone5	man_health_worker_tone5,man_health_worker_dark_skin_tone
👩‍⚕️	woman_health_worker	woman_health_worker
👩🏻‍⚕️	woman_health_worker_tone1	woman_health_worker_tone1,woman_health_worker_light_skin_tone
👩🏼‍⚕️	woman_health_worker_tone2	woman_health_worker_tone2,woman_health_worker_medium_light_skin_tone
👩🏽‍⚕️	woman_health_worker_tone3	woman_health_worker_tone3,woman_health_worker_medium_skin_tone
👩🏾‍⚕️	woman_health_worker_tone4	woman_health_worker_tone4,woman_health_worker_medium_dark_skin_tone
👩🏿‍⚕️	woman_health_worker_tone5	woman_health_worker_tone5,woman_health_worker_dark_skin_tone
🧑‍🎓	student	student
🧑🏻‍🎓	student_tone1	student_tone1,student_light_skin_tone
🧑🏼‍🎓	student_tone2	student_tone2,student_medium_light_skin_tone
🧑🏽‍🎓	student_tone3	student_tone3,student_medium_skin_tone
🧑🏾‍🎓	student_tone4	student_tone4,student_medium_dark_skin_tone
🧑🏿‍🎓	student_tone5	student_tone5,student_dark_skin_tone
👨‍🎓	man_student	man_student
👨🏻‍🎓	man_student_tone1	man_student_tone1,man_student_light_skin_tone
👨🏼‍🎓	man_student_tone2	man_student_tone2,man_student_medium_light_skin_tone
👨🏽‍🎓	man_student_tone3	man_student_tone3,man_student_medium_skin_tone
👨🏾‍🎓	man_student_tone4	man_student_tone4,man_student_medium_dark_skin_tone
👨🏿‍🎓	man_student_tone5	man_student_tone5,man_student_dark_skin_tone
👩‍🎓	woman_student	woman_student
👩🏻‍🎓	woman_student_tone1	woman_student_tone1,woman_student_light_skin_tone
👩🏼‍🎓	woman_student_tone2	woman_student_tone2,woman_student_medium_light_skin_tone
👩🏽‍🎓	woman_student_tone3	woman_student_tone3,woman_student_medium_skin_tone
👩🏾‍🎓	woman_student_tone4	woman_student_tone4,woman_student_medium_dark_skin_tone
👩🏿‍🎓	woman_student_tone5	woman_student_tone5,woman_student_dark_skin_tone
🧑‍🏫	teacher	teacher
🧑🏻‍🏫	teacher_tone1	teacher_tone1,teacher_light_skin_tone
🧑🏼‍🏫	teacher_tone2	teacher_tone2,teacher_medium_light_skin_tone
🧑🏽‍🏫	teacher_tone3	teacher_tone3,teacher_medium_skin_tone
🧑🏾‍🏫	teacher_tone4	teacher_tone4,teacher_medium_dark_skin_tone
🧑🏿‍🏫	teacher_tone5	teacher_tone5,teacher_dark_skin_tone
👨‍🏫	man_teacher	man_teacher
👨🏻‍🏫	man_teacher_tone1	man_teacher_tone1,man_teacher_light_skin_tone
👨🏼‍🏫	man_teacher_tone2	man_teacher_tone2,man_teacher_medium_light_skin_tone
👨🏽‍🏫	man_teacher_tone3	man_teacher_tone3,man_teacher_medium_skin_tone
👨🏾‍🏫	man_teacher_tone4	man_teacher_tone4,man_teacher_medium_dark_skin_tone
👨🏿‍🏫	man_teacher_tone5	man_teacher_tone5,man_teacher_dark_skin_tone
👩‍🏫	woman_teacher	woman_teacher
👩🏻‍🏫	woman_teacher_tone1	woman_teacher_tone1,woman_teacher_light_skin_tone
👩🏼‍🏫	woman_teacher_tone2	woman_teacher_tone2,woman_teacher_medium_light_skin_tone
👩🏽‍🏫	woman_teacher_tone3	woman_teacher_tone3,woman_teacher_medium_skin_tone
👩🏾‍🏫	woman_teacher_tone4	woman_teacher_tone4,woman_teacher_medium_dark_skin_tone
👩🏿‍🏫	woman_teacher_tone5	woman_teacher_tone5,woman_teacher_dark_skin_tone
🧑‍⚖️	judge	judge
🧑🏻‍⚖️	judge_tone1	judge_tone1,judge_light_skin_tone
🧑🏼‍⚖️	judge_tone2	judge_tone2,judge_medium_light_skin_tone
🧑🏽‍⚖️	judge_tone3	judge_tone3,judge_medium_skin_tone
🧑🏾‍⚖️	judge_tone4	judge_tone4,judge_medium_dark_skin_tone
🧑🏿‍⚖️	judge_tone5	judge_tone5,judge_dark_skin_tone
👨‍⚖️	man_judge	man_judge
👨🏻‍⚖️	man_judge_tone1	man_judge_tone1,man_judge_light_skin_tone
👨🏼‍⚖️	man_judge_tone2	man_judge_tone2,man_judge_medium_light_skin_tone
👨🏽‍⚖️	man_judge_tone3	man_judge_tone3,man_judge_medium_skin_tone
👨🏾‍⚖️	man_judge_tone4	man_judge_tone4,man_judge_medium_dark_skin_tone
👨🏿‍⚖️	man_judge_tone5	man_judge_tone5,man_judge_dark_skin_tone
👩‍⚖️	woman_judge	woman_judge
👩🏻‍⚖️	woman_judge_tone1	woman_judge_tone1,woman_judge_light_skin_tone
👩🏼‍⚖️	woman_judge_tone2	woman_judge_tone2,woman_judge_medium_light_skin_tone
👩🏽‍⚖️	woman_judge_tone3	woman_judge_tone3,woman_judge_medium_skin_tone
👩🏾‍⚖️	woman_judge_tone4	woman_judge_tone4,woman_judge_medium_dark_skin_tone
👩🏿‍⚖️	woman_judge_tone5	woman_judge_tone5,woman_judge_dark_skin_tone
🧑‍🌾	farmer	farmer
🧑🏻‍🌾	farmer_tone1	farmer_tone1,farmer_light_skin_tone
🧑🏼‍🌾	farmer_tone2	farmer_tone2,farmer_medium_light_skin_tone
🧑🏽‍🌾	farmer_tone3	farmer_tone3,farmer_medium_skin_tone
🧑🏾‍🌾	farmer_tone4	farmer_tone4,farmer_medium_dark_skin_tone
🧑🏿‍🌾	farmer_tone5	farmer_tone5,farmer_dark_skin_tone
👨‍🌾	man_farmer	man_farmer
👨🏻‍🌾	man_farmer_tone1	man_farmer_tone1,man_farmer_light_skin_tone
👨🏼‍🌾	man_farmer_tone2	man_farmer_tone2,man_farmer_medium_light_skin_tone
👨🏽‍🌾	man_farmer_tone3	man_farmer_tone3,man_farmer_medium_skin_tone
👨🏾‍🌾	man_farmer_tone4	man_farmer_tone4,man_farmer_medium_dark_skin_tone
👨🏿‍🌾	man_farmer_tone5	man_farmer_tone5,man_farmer_dark_skin_tone
👩‍🌾	woman_farmer	woman_farmer
👩🏻‍🌾	woman_farmer_tone1	woman_farmer_tone1,woman_farmer_light_skin_tone
👩🏼‍🌾	woman_farmer_tone2	woman_farmer_tone2,woman_farmer_medium_light_skin_tone
👩🏽‍🌾	woman_farmer_tone3	woman_farmer_tone3,woman_farmer_medium_skin_tone
👩🏾‍🌾	woman_farmer_tone4	woman_farmer_tone4,woman_farmer_medium_dark_skin_tone
👩🏿‍🌾	woman_farmer_tone5	woman_farmer_tone5,woman_farmer_dark_skin_tone
🧑‍🍳	cook	cook
🧑🏻‍🍳	cook_tone1	cook_tone1,cook_light_skin_tone
🧑🏼‍🍳	cook_tone2	cook_tone2,cook_medium_light_skin_tone
🧑🏽‍🍳	cook_tone3	cook_tone3,cook_medium_skin_tone
🧑🏾‍🍳	cook_tone4	cook_tone4,cook_medium_dark_skin_tone
🧑🏿‍🍳	cook_tone5	cook_tone5,cook_dark_skin_tone
👨‍🍳	man_cook	man_cook
👨🏻‍🍳	man_cook_tone1	man_cook_tone1,man_cook_light_skin_tone
👨🏼‍🍳	man_cook_tone2	man_cook_tone2,man_cook_medium_light_skin_tone
👨🏽‍🍳	man_cook_tone3	man_cook_tone3,man_cook_medium_skin_tone
👨🏾‍🍳	man_cook_tone4	man_cook_tone4,man_cook_medium_dark_skin_tone
👨🏿‍🍳	man_cook_tone5	man_cook_tone5,man_cook_dark_skin_tone
👩‍🍳	woman_cook	woman_cook
👩🏻‍🍳	woman_cook_tone1	woman_cook_tone1,woman_cook_light_skin_tone
👩🏼‍🍳	woman_cook_tone2	woman_cook_tone2,woman_cook_medium_light_skin_tone
👩🏽‍🍳	woman_cook_tone3	woman_cook_tone3,woman_cook_medium_skin_tone
👩🏾‍🍳	woman_cook_tone4	woman_cook_tone4,woman_cook_medium_dark_skin_tone
👩🏿‍🍳	woman_cook_tone5	woman_cook_tone5,woman_cook_dark_skin_tone
🧑‍🔧	mechanic	mechanic
🧑🏻‍🔧	mechanic_tone1	mechanic_tone1,mechanic_light_skin_tone
🧑🏼‍🔧	mechanic_tone2	mechanic_tone2,mechanic_medium_light_skin_tone
🧑🏽‍🔧	mechanic_tone3	mechanic_tone3,mechanic_medium_skin_tone
🧑🏾‍🔧	mechanic_tone4	mechanic_tone4,mechanic_medium_dark_skin_tone
🧑🏿‍🔧	mechanic_tone5	mechanic_tone5,mechanic_dark_skin_tone
👨‍🔧	man_mechanic	man_mechanic
👨🏻‍🔧	man_mechanic_tone1	man_mechanic_tone1,man_mechanic_light_skin_tone
👨🏼‍🔧	man_mechanic_tone2	man_mechanic_tone2,man_mechanic_medium_light_skin_tone
👨🏽‍🔧	man_mechanic_tone3	man_mechanic_tone3,man_mechanic_medium_skin_tone
👨🏾‍🔧	man_mechanic_tone4	man_mechanic_tone4,man_mechanic_medium_dark_skin_tone
👨🏿‍🔧	man_mechanic_tone5	man_mechanic_tone5,man_mechanic_dark_skin_tone
👩‍🔧	woman_mechanic	woman_mechanic
👩🏻‍🔧	woman_mechanic_tone1	woman_mechanic_tone1,woman_mechanic_light_skin_tone
👩🏼‍🔧	woman_mechanic_tone2	woman_mechanic_tone2,woman_mechanic_medium_light_skin_tone
👩🏽‍🔧	woman_mechanic_tone3	woman_mechanic_tone3,woman_mechanic_medium_skin_tone
👩🏾‍🔧	woman_mechanic_tone4	woman_mechanic_tone4,woman_mechanic_medium_dark_skin_tone
👩🏿‍🔧	woman_mechanic_tone5	woman_mechanic_tone5,woman_mechanic_dark_skin_tone
🧑‍🏭	factory_worker	factory_worker
🧑🏻‍🏭	factory_worker_tone1	factory_worker_tone1,factory_worker_light_skin_tone
🧑🏼‍🏭	factory_worker_tone2	factory_worker_tone2,factory_worker_medium_light_skin_tone
🧑🏽‍🏭	factory_worker_tone3	factory_worker_tone3,factory_worker_medium_skin_tone
🧑🏾‍🏭	factory_worker_tone4	factory_worker_tone4,factory_worker_medium_dark_skin_tone
🧑🏿‍🏭	factory_worker_tone5	factory_worker_tone5,factory_worker_dark_skin_tone
👨‍🏭	man_factory_worker	man_factory_worker
👨🏻‍🏭	man_factory_worker_tone1	man_factory_worker_tone1,man_factory_worker_light_skin_tone
👨🏼‍🏭	man_factory_worker_tone2	man_factory_worker_tone2,man_factory_worker_medium_light_skin_tone
👨🏽‍🏭	man_factory_worker_tone3	man_factory_worker_tone3,man_factory_worker_medium_skin_tone
👨🏾‍🏭	man_factory_worker_tone4	man_factory_worker_tone4,man_factory_worker_medium_dark_skin_tone
👨🏿‍🏭	man_factory_worker_tone5	man_factory_worker_tone5,man_factory_worker_dark_skin_tone
👩‍🏭	woman_factory_worker	woman_factory_worker
👩🏻‍🏭	woman_factory_worker_tone1	woman_factory_worker_tone1,woman_factory_worker_light_skin_tone
👩🏼‍🏭	woman_factory_worker_tone2	woman_factory_worker_tone2,woman_factory_worker_medium_light_skin_tone
👩🏽‍🏭	woman_factory_worker_tone3	woman_factory_worker_tone3,woman_factory_worker_medium_skin_tone
👩🏾‍🏭	woman_factory_worker_tone4	woman_factory_worker_tone4,woman_factory_worker_medium_dark_skin_tone
👩🏿‍🏭	woman_factory_worker_tone5	woman_factory_worker_tone5,woman_factory_worker_dark_skin_tone
🧑‍💼	office_worker	office_worker
🧑🏻‍💼	office_worker_tone1	office_worker_tone1,office_worker_light_skin_tone
🧑🏼‍💼	office_worker_tone2	office_worker_tone2,office_worker_medium_light_skin_tone
🧑🏽‍💼	office_worker_tone3	office_worker_tone3,office_worker_medium_skin_tone
🧑🏾‍💼	office_worker_tone4	office_worker_tone4,office_worker_medium_dark_skin_tone
🧑🏿‍💼	office_worker_tone5	office_worker_tone5,office_worker_dark_skin_tone
👨‍💼	man_office_worker	man_office_worker
👨🏻‍💼	man_office_worker_tone1	man_office_worker_tone1,man_office_worker_light_skin_tone
👨🏼‍💼	man_office_worker_tone2	man_office_worker_tone2,man_office_worker_medium_light_skin_tone
👨🏽‍💼	man_office_worker_tone3	man_office_worker_tone3,man_office_worker_medium_skin_tone
👨🏾‍💼	man_office_worker_tone4	man_office_worker_tone4,man_office_worker_medium_dark_skin_tone
👨🏿‍💼	man_office_worker_tone5	man_office_worker_tone5,man_office_worker_dark_skin_tone
👩‍💼	woman_office_worker	woman_office_worker
👩🏻‍💼	woman_office_worker_tone1	woman_office_worker_tone1,woman_office_worker_light_skin_tone
👩🏼‍💼	woman_office_worker_tone2	woman_office_worker_tone2,woman_office_worker_medium_light_skin_tone
👩🏽‍💼	woman_office_worker_tone3	woman_office_worker_tone3,woman_office_worker_medium_skin_tone
👩🏾‍💼	woman_office_worker_tone4	woman_office_worker_tone4,woman_office_worker_medium_dark_skin_tone
👩🏿‍💼	woman_office_worker_tone5	woman_office_worker_tone5,woman_office_worker_dark_skin_tone
🧑‍🔬	scientist	scientist
🧑🏻‍🔬	scientist_tone1	scientist_tone1,scientist_light_skin_tone
🧑🏼‍🔬	scientist_tone2	scientist_tone2,scientist_medium_light_skin_tone
🧑🏽‍🔬	scientist_tone3	scientist_tone3,scientist_medium_skin_tone
🧑🏾‍🔬	scientist_tone4	scientist_tone4,scientist_medium_dark_skin_tone
🧑🏿‍🔬	scientist_tone5	scientist_tone5,scientist_dark_skin_tone
👨‍🔬	man_scientist	man_scientist
👨🏻‍🔬	man_scientist_tone1	man_scientist_tone1,man_scientist_light_skin_tone
👨🏼‍🔬	man_scientist_tone2	man_scientist_tone2,man_scientist_medium_light_skin_tone
👨🏽‍🔬	man_scientist_tone3	man_scientist_tone3,man_scientist_medium_skin_tone
👨🏾‍🔬	man_scientist_tone4	man_scientist_tone4,man_scientist_medium_dark_skin_tone
👨🏿‍🔬	man_scientist_tone5	man_scientist_tone5,man_scientist_dark_skin_tone
👩‍🔬	woman_scientist	woman_scientist
👩🏻‍🔬	woman_scientist_tone1	woman_scientist_tone1,woman_scientist_light_skin_tone
👩🏼‍🔬	woman_scientist_tone2	woman_scientist_tone2,woman_scientist_medium_light_skin_tone
👩🏽‍🔬	woman_scientist_tone3	woman_scientist_tone3,woman_scientist_medium_skin_tone
👩🏾‍🔬	woman_scientist_tone4	woman_scientist_tone4,woman_scientist_medium_dark_skin_tone
👩🏿‍🔬	woman_scientist_tone5	woman_scientist_tone5,woman_scientist_dark_skin_tone
🧑‍💻	technologist	technologist
🧑🏻‍💻	technologist_tone1	technologist_tone1,technologist_light_skin_tone
🧑🏼‍💻	technologist_tone2	technologist_tone2,technologist_medium_light_skin_tone
🧑🏽‍💻	technologist_tone3	technologist_tone3,technologist_medium_skin_tone
🧑🏾‍💻	technologist_tone4	technologist_tone4,technologist_medium_dark_skin_tone
🧑🏿‍💻	technologist_tone5	technologist_tone5,technologist_dark_skin_tone
👨‍💻	man_technologist	man_technologist
👨🏻‍💻	man_technologist_tone1	man_technologist_tone1,man_technologist_light_skin_tone
👨🏼‍💻	man_technologist_tone2	man_technologist_tone2,man_technologist_medium_light_skin_tone
👨🏽‍💻	man_technologist_tone3	man_technologist_tone3,man_technologist_medium_skin_tone
👨🏾‍💻	man_technologist_tone4	man_technologist_tone4,man_technologist_medium_dark_skin_tone
👨🏿‍💻	man_technologist_tone5	man_technologist_tone5,man_technologist_dark_skin_tone
👩‍💻	woman_technologist	woman_technologist
👩🏻‍💻	woman_technologist_tone1	woman_technologist_tone1,woman_technologist_light_skin_tone
👩🏼‍💻	woman_technologist_tone2	woman_technologist_tone2,woman_technologist_medium_light_skin_tone
👩🏽‍💻	woman_technologist_tone3	woman_technologist_tone3,woman_technologist_medium_skin_tone
👩🏾‍💻	woman_technologist_tone4	woman_technologist_tone4,woman_technologist_medium_dark_skin_tone
👩🏿‍💻	woman_technologist_tone5	woman_technologist_tone5,woman_technologist_dark_skin_tone
🧑‍🎤	singer	singer
🧑🏻‍🎤	singer_tone1	singer_tone1,singer_light_skin_tone
🧑🏼‍🎤	singer_tone2	singer_tone2,singer_medium_light_skin_tone
🧑🏽‍🎤	singer_tone3	singer_tone3,singer_medium_skin_tone
🧑🏾‍🎤	singer_tone4	singer_tone4,singer_medium_dark_skin_tone
🧑🏿‍🎤	singer_tone5	singer_tone5,singer_dark_skin_tone
👨‍🎤	man_singer	man_singer
👨🏻‍🎤	man_singer_tone1	man_singer_tone1,man_singer_light_skin_tone
👨🏼‍🎤	man_singer_tone2	man_singer_tone2,man_singer_medium_light_skin_tone
👨🏽‍🎤	man_singer_tone3	man_singer_tone3,man_singer_medium_skin_tone
👨🏾‍🎤	man_singer_tone4	man_singer_tone4,man_singer_medium_dark_skin_tone
👨🏿‍🎤	man_singer_tone5	man_singer_tone5,man_singer_dark_skin_tone
👩‍🎤	woman_singer	woman_singer
👩🏻‍🎤	woman_singer_tone1	woman_singer_tone1,woman_singer_light_skin_tone
👩🏼‍🎤	woman_singer_tone2	woman_singer_tone2,woman_singer_medium_light_skin_tone
👩🏽‍🎤	woman_singer_tone3	woman_singer_tone3,woman_singer_medium_skin_tone
👩🏾‍🎤	woman_singer_tone4	woman_singer_tone4,woman_singer_medium_dark_skin_tone
👩🏿‍🎤	woman_singer_tone5	woman_singer_tone5,woman_singer_dark_skin_tone
🧑‍🎨	artist	artist
🧑🏻‍🎨	artist_tone1	artist_tone1,artist_light_skin_tone
🧑🏼‍🎨	artist_tone2	artist_tone2,artist_medium_light_skin_tone
🧑🏽‍🎨	artist_tone3	artist_tone3,artist_medium_skin_tone
🧑🏾‍🎨	artist_tone4	artist_tone4,artist_medium_dark_skin_tone
🧑🏿‍🎨	artist_tone5	artist_tone5,artist_dark_skin_tone
👨‍🎨	man_artist	man_artist
👨🏻‍🎨	man_artist_tone1	man_artist_tone1,man_artist_light_skin_tone
👨🏼‍🎨	man_artist_tone2	man_artist_tone2,man_artist_medium_light_skin_tone
👨🏽‍🎨	man_artist_tone3	man_artist_tone3,man_artist_medium_skin_tone
👨🏾‍🎨	man_artist_tone4	man_artist_tone4,man_artist_medium_dark_skin_tone
👨🏿‍🎨	man_artist_tone5	man_artist_tone5,man_artist_dark_skin_tone
👩‍🎨	woman_artist	woman_artist
👩🏻‍🎨	woman_artist_tone1	woman_artist_tone1,woman_artist_light_skin_tone
👩🏼‍🎨	woman_artist_tone2	woman_artist_tone2,woman_artist_medium_light_skin_tone
👩🏽‍🎨	woman_artist_tone3	woman_artist_tone3,woman_artist_medium_skin_tone
👩🏾‍🎨	woman_artist_tone4	woman_artist_tone4,woman_artist_medium_dark_skin_tone
👩🏿‍🎨	woman_artist_tone5	woman_artist_tone5,woman_artist_dark_skin_tone
🧑‍✈️	pilot	pilot
🧑🏻‍✈️	pilot_tone1	pilot_tone1,pilot_light_skin_tone
🧑🏼‍✈️	pilot_tone2	pilot_tone2,pilot_medium_light_skin_tone
🧑🏽‍✈️	pilot_tone3	pilot_tone3,pilot_medium_skin_tone
🧑🏾‍✈️	pilot_tone4	pilot_tone4,pilot_medium_dark_skin_tone
🧑🏿‍✈️	pilot_tone5	pilot_tone5,pilot_dark_skin_tone
👨‍✈️	man_pilot	man_pilot
👨🏻‍✈️	man_pilot_tone1	man_pilot_tone1,man_pilot_light_skin_tone
👨🏼‍✈️	man_pilot_tone2	man_pilot_tone2,man_pilot_medium_light_skin_tone
👨🏽‍✈️	man_pilot_tone3	man_pilot_tone3,man_pilot_medium_skin_tone
👨🏾‍✈️	man_pilot_tone4	man_pilot_tone4,man_pilot_medium_dark_skin_tone
👨🏿‍✈️	man_pilot_tone5	man_pilot_tone5,man_pilot_dark_skin_tone
👩‍✈️	woman_pilot	woman_pilot
👩🏻‍✈️	woman_pilot_tone1	woman_pilot_tone1,woman_pilot_light_skin_tone
👩🏼‍✈️	woman_pilot_tone2	woman_pilot_tone2,woman_pilot_medium_light_skin_tone
👩🏽‍✈️	woman_pilot_tone3	woman_pilot_tone3,woman_pilot_medium_skin_tone
👩🏾‍✈️	woman_pilot_tone4	woman_pilot_tone4,woman_pilot_medium_dark_skin_tone
👩🏿‍✈️	woman_pilot_tone5	woman_pilot_tone5,woman_pilot_dark_skin_tone
🧑‍🚀	astronaut	astronaut
🧑🏻‍🚀	astronaut_tone1	astronaut_tone1,astronaut_light_skin_tone
🧑🏼‍🚀	astronaut_tone2	astronaut_tone2,astronaut_medium_light_skin_tone
🧑🏽‍🚀	astronaut_tone3	astronaut_tone3,astronaut_medium_skin_tone
🧑🏾‍🚀	astronaut_tone4	astronaut_tone4,astronaut_medium_dark_skin_tone
🧑🏿‍🚀	astronaut_tone5	astronaut_tone5,astronaut_dark_skin_tone
👨‍🚀	man_astronaut	man_astronaut
👨🏻‍🚀	man_astronaut_tone1	man_astronaut_tone1,man_astronaut_light_skin_tone
👨🏼‍🚀	man_astronaut_tone2	man_astronaut_tone2,man_astronaut_medium_light_skin_tone
👨🏽‍🚀	man_astronaut_tone3	man_astronaut_tone3,man_astronaut_medium_skin_tone
👨🏾‍🚀	man_astronaut_tone4	man_astronaut_tone4,man_astronaut_medium_dark_skin_tone
👨🏿‍🚀	man_astronaut_tone5	man_astronaut_tone5,man_astronaut_dark_skin_tone
👩‍🚀	woman_astronaut	woman_astronaut
👩🏻‍🚀	woman_astronaut_tone1	woman_astronaut_tone1,woman_astronaut_light_skin_tone
👩🏼‍🚀	woman_astronaut_tone2	woman_astronaut_tone2,woman_astronaut_medium_light_skin_tone
👩🏽‍🚀	woman_astronaut_tone3	woman_astronaut_tone3,woman_astronaut_medium_skin_tone
👩🏾‍🚀	woman_astronaut_tone4	woman_astronaut_tone4,woman_astronaut_medium_dark_skin_tone
👩🏿‍🚀	woman_astronaut_tone5	woman_astronaut_tone5,woman_astronaut_dark_skin_tone
🧑‍🚒	firefighter	firefighter
🧑🏻‍🚒	firefighter_tone1	firefighter_tone1,firefighter_light_skin_tone
🧑🏼‍🚒	firefighter_tone2	firefighter_tone2,firefighter_medium_light_skin_tone
🧑🏽‍🚒	firefighter_tone3	firefighter_tone3,firefighter_medium_skin_tone
🧑🏾‍🚒	firefighter_tone4	firefighter_tone4,firefighter_medium_dark_skin_tone
🧑🏿‍🚒	firefighter_tone5	firefighter_tone5,firefighter_dark_skin_tone
👨‍🚒	man_firefighter	man_firefighter
👨🏻‍🚒	man_firefighter_tone1	man_firefighter_tone1,man_firefighter_light_skin_tone
👨🏼‍🚒	man_firefighter_tone2	man_firefighter_tone2,man_firefighter_medium_light_skin_tone
👨🏽‍🚒	man_firefighter_tone3	man_firefighter_tone3,man_firefighter_medium_skin_tone
👨🏾‍🚒	man_firefighter_tone4	man_firefighter_tone4,man_firefighter_medium_dark_skin_tone
👨🏿‍🚒	man_firefighter_tone5	man_firefighter_tone5,man_firefighter_dark_skin_tone
👩‍🚒	woman_firefighter	woman_firefighter
👩🏻‍🚒	woman_firefighter_tone1	woman_firefighter_tone1,woman_firefighter_light_skin_tone
👩🏼‍🚒	woman_firefighter_tone2	woman_firefighter_tone2,woman_firefighter_medium_light_skin_tone
👩🏽‍🚒	woman_firefighter_tone3	woman_firefighter_tone3,woman_firefighter_medium_skin_tone
👩🏾‍🚒	woman_firefighter_tone4	woman_firefighter_tone4,woman_firefighter_medium_dark_skin_tone
👩🏿‍🚒	woman_firefighter_tone5	woman_firefighter_tone5,woman_firefighter_dark_skin_tone
👮	police_officer	police_officer,cop
👮🏻	police_officer_tone1	police_officer_tone1,cop_tone1
👮🏼	police_officer_tone2	police_officer_tone2,cop_tone2
👮🏽	police_officer_tone3	police_officer_tone3,cop_tone3
👮🏾	police_officer_tone4	police_officer_tone4,cop_tone4
👮🏿	police_officer_tone5	police_officer_tone5,cop_tone5
👮‍♂️	man_police_officer	man_police_officer
👮🏻‍♂️	man_police_officer_tone1	man_police_officer_tone1,man_police_officer_light_skin_tone
